epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5228,2.4063,3.71704,1.4965,0.01623,0.67221,0.14192,0.0565,1.58922,3.51357,1.08546,0.000328283,0.000328283,0.000328283
2,39.1948,1.55858,2.01287,1.08618,0.66554,0.4352,0.57448,0.31438,1.35172,2.30798,1.03622,0.000648516,0.000648516,0.000648516
3,55.0539,1.4184,1.57929,1.04361,0.8134,0.72176,0.81165,0.42174,1.43491,1.27418,1.05314,0.000955549,0.000955549,0.000955549
4,70.9571,1.39586,1.39521,1.04,0.73852,0.64946,0.68628,0.22511,2.05141,1.38147,1.27396,0.0009406,0.0009406,0.0009406
5,86.7514,1.32152,1.22136,1.01105,0.83105,0.81759,0.88275,0.43295,1.63415,1.21585,1.17948,0.0009208,0.0009208,0.0009208
6,102.366,1.26634,1.10793,1.00033,0.85993,0.83712,0.91436,0.51999,1.42467,0.99327,1.06144,0.000901,0.000901,0.000901
7,118.075,1.30255,1.05539,1.00276,0.92057,0.87228,0.94388,0.52895,1.36714,0.87557,1.04197,0.0008812,0.0008812,0.0008812
8,133.779,1.22859,0.99162,0.98318,0.92581,0.88493,0.94821,0.61121,1.16839,0.78243,0.97642,0.0008614,0.0008614,0.0008614
9,149.457,1.20337,0.94635,0.98123,0.92168,0.8987,0.95288,0.62713,1.1066,0.72295,0.97025,0.0008416,0.0008416,0.0008416
10,165.181,1.1445,0.88136,0.96225,0.93884,0.88803,0.95757,0.61523,1.12832,0.73168,0.97471,0.0008218,0.0008218,0.0008218
11,180.837,1.18076,0.8626,0.96809,0.95196,0.89983,0.9669,0.67038,1.05166,0.68219,0.95392,0.000802,0.000802,0.000802
12,196.497,1.15509,0.84837,0.95492,0.96254,0.92446,0.97264,0.69373,0.96527,0.62068,0.93082,0.0007822,0.0007822,0.0007822
13,212.169,1.12737,0.83195,0.9557,0.95307,0.89918,0.96242,0.58214,1.30623,0.69148,1.01524,0.0007624,0.0007624,0.0007624
14,227.857,1.10328,0.79738,0.94958,0.96142,0.91631,0.96903,0.60496,1.20879,0.68814,0.98693,0.0007426,0.0007426,0.0007426
15,243.687,1.10168,0.78372,0.9477,0.94511,0.91554,0.96279,0.579,1.39669,0.68857,1.05258,0.0007228,0.0007228,0.0007228
16,259.414,1.09643,0.76686,0.94701,0.94771,0.91687,0.96198,0.55308,1.36559,0.69307,1.03044,0.000703,0.000703,0.000703
17,275.159,1.09665,0.74982,0.94706,0.95831,0.9326,0.97325,0.56343,1.33086,0.66158,1.02012,0.0006832,0.0006832,0.0006832
18,290.859,1.09448,0.7328,0.94625,0.97387,0.92797,0.97908,0.70083,0.97217,0.55081,0.9282,0.0006634,0.0006634,0.0006634
19,306.716,1.05621,0.70264,0.94457,0.96788,0.93433,0.9721,0.58994,1.32028,0.63331,1.0149,0.0006436,0.0006436,0.0006436
20,322.482,1.10387,0.72352,0.9468,0.96963,0.94451,0.98205,0.74282,0.8581,0.5136,0.90654,0.0006238,0.0006238,0.0006238
21,338.101,1.0625,0.69153,0.9389,0.96069,0.91097,0.96261,0.44579,1.78544,0.73422,1.16954,0.000604,0.000604,0.000604
22,353.685,1.05074,0.68206,0.93843,0.96217,0.93281,0.97224,0.53147,1.5419,0.66332,1.0747,0.0005842,0.0005842,0.0005842
23,369.306,1.04237,0.66688,0.93346,0.9692,0.95073,0.98014,0.74712,0.83893,0.48357,0.90124,0.0005644,0.0005644,0.0005644
24,385.071,1.00462,0.65704,0.92998,0.96253,0.93815,0.97855,0.73658,0.86431,0.49958,0.90468,0.0005446,0.0005446,0.0005446
25,400.723,1.00617,0.64295,0.92425,0.96068,0.93976,0.97752,0.73379,0.89364,0.50982,0.91012,0.0005248,0.0005248,0.0005248
