epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3532,3.89115,8.06594,1.87961,0,0,0,0,3.23612,5.65305,1.25388,0.0003,0.0003,0.0003
2,22.2911,3.02144,5.32713,1.25024,0,0,0,0,2.85411,4.3885,1.2211,0.000597922,0.000597922,0.000597922
3,30.9515,2.71095,4.28044,1.14114,0.72459,0.03922,0.10898,0.04243,2.50676,3.33072,1.12955,0.000883568,0.000883568,0.000883568
4,38.5656,2.57563,3.68363,1.09709,0.38977,0.21996,0.2399,0.09491,2.51543,2.77837,1.1315,0.0009406,0.0009406,0.0009406
5,46.1476,2.53051,3.28765,1.06963,0.45358,0.29571,0.29898,0.12842,2.32957,2.57931,1.08798,0.0009208,0.0009208,0.0009208
6,53.7424,2.38149,2.98768,1.03766,0.59264,0.37922,0.39527,0.16587,2.26904,2.27615,1.06146,0.000901,0.000901,0.000901
7,61.3692,2.26628,2.73822,1.01773,0.67527,0.39476,0.43629,0.17866,2.22502,2.2839,1.04095,0.0008812,0.0008812,0.0008812
8,68.9525,2.22471,2.54661,1.0223,0.63979,0.46426,0.47284,0.20942,2.21879,1.98714,1.04654,0.0008614,0.0008614,0.0008614
9,76.57,2.15659,2.33419,1.00481,0.58897,0.53414,0.52933,0.22622,2.1698,1.7503,1.03143,0.0008416,0.0008416,0.0008416
10,84.1457,2.18797,2.23365,0.98899,0.60272,0.50952,0.52341,0.22823,2.19047,1.72727,1.02816,0.0008218,0.0008218,0.0008218
11,91.8355,2.09087,2.06779,0.99676,0.76058,0.55931,0.60628,0.27818,2.05946,1.61079,1.00651,0.000802,0.000802,0.000802
12,99.4372,2.1003,1.98625,1.00055,0.6855,0.53733,0.6038,0.24396,2.17418,1.66059,1.01913,0.0007822,0.0007822,0.0007822
13,107.044,2.01923,1.88916,0.97177,0.67782,0.60599,0.60204,0.25694,2.12832,1.60975,1.01204,0.0007624,0.0007624,0.0007624
14,114.643,2.06301,1.88205,0.95819,0.77193,0.58885,0.6521,0.27167,2.10229,1.46633,1.002,0.0007426,0.0007426,0.0007426
15,122.197,1.99601,1.786,0.98736,0.747,0.60083,0.66856,0.31125,1.99924,1.4512,0.98524,0.0007228,0.0007228,0.0007228
16,129.783,1.9971,1.75136,0.96644,0.69579,0.5757,0.63755,0.28902,2.06042,1.44497,0.99351,0.000703,0.000703,0.000703
